"5","Política de segurança da informação "
"5.1","Política de segurança da informação "
"5.1.1","Documento da política de segurança da informação "
"5.1.2","Análise crítica da política de segurança da informação "
"6","Organizando a segurança da informação "
"6.1","Organizaçāo interna "
"6.1.1","Comprometimento da direção com a segurança da informação "
"6.1.2","Coordenação da segurança da informação "
"6.1.3","Atribuição de responsabilidades para a segurança da informação "
"6.1.4","Processo de autorização para os recursos de processamento da informação "
"6.1.5","Acordos de confidencialidade "
"6.1.6","Contato com autoridades "
"6.1.7","Contato com grupos especiais "
"6.1.8","Análise crítica independente de segurança da informação "
"6.2","Partes externas "
"6.2.1","Identificação dos riscos relacionados com partes externas "
"6.2.2","Identificando a segurança da informação, quando tratando com os clientes "," 
"6.2.3","Identificando segurança da informação nos acordos com terceiros "
"7","Gestão de ativos "
"7.1","Responsabilidade pelos ativos "
"7.1.1","Inventário dos ativos "
"7.1.2","Proprietário dos ativos "
"7.1.3","Uso aceitável dos ativos "
"7.2","Classificação da informação "
"7.2.1","Recomendações para classificação "
"7.2.2","Rótulos e tratamento da informação "
"8","Segurança em recursos humanos "
"8.1","Antes da contratação "
"8.1.1","Papéis e responsabilidades "
"8.1.2","Seleção "
"8.1.3","Termos e condições de contratação "
"8.2","Durante a contratação "
"8.2.1","Responsabilidades da direção "
"8.2.2","Conscientização, educação e treinamento em segurança da informação "
"8.2.3","Processo disciplinar "
"8.3","Encerramento ou mudança da contratação "
"8.3.1","Encerramento de atividades "
"8.3.2","Devolução de ativos "
"8.3.3","Retirada de direitos de acesso "
"9","Segurança física e do ambiente "
"9.1","Áreas seguras "
"9.1.1","Perímetro de segurança física "
"9.1.2","Controles de entrada física "
"9.1.3","Segurança em escritórios, salas e instalações "
"9.1.4","Proteção contra ameaças externas e do meio ambiente "
"9.1.5","Trabalhando em áreas seguras "
"9.1.6","Acesso do público, áreas de entrega e de carregamento "
"9.2","Segurança de equipamentos "
"9.2.1","instalação e proteção do equipamento "
"9.2.2","Utilidades "
"9.2.3","Segurança do cabeamento "
"9.2.4","Manutenção dos equipamentos "
"9.2.5","Segurança de equipamentos fora das dependências da organização "
